Time,PID,Event
0,0,Job arrived at CPU.
0,0,Job started at CPU.
14,0,Job finished at CPU.
14,0,Going to disk
14,0,Arrived at disk 2
14,0,Job started at disk 2.
115,1,Job arrived at CPU.
115,1,Job started at CPU.
125,1,Job finished at CPU.
125,1,Going to disk
125,1,Arrived at disk 1
125,1,Job started at disk 1.
217,2,Job arrived at CPU.
217,2,Job started at CPU.
227,2,Job finished at CPU.
227,2,Going to disk
227,2,Arrived at disk 2
340,3,Job arrived at CPU.
340,3,Job started at CPU.
353,3,Job finished at CPU.
353,3,Going to disk
353,3,Arrived at disk 1
441,4,Job arrived at CPU.
441,4,Job started at CPU.
454,4,Job finished at CPU.
454,4,Going to disk
454,4,Arrived at disk 2
565,5,Job arrived at CPU.
565,5,Job started at CPU.
580,5,Job finished at CPU.
580,5,Going to disk
580,5,Arrived at disk 1
691,0,Job finished at disk 2.
691,0,Returning to CPU
691,2,Job started at disk 2.
691,0,Job arrived at CPU.
691,0,Job started at CPU.
698,1,Job finished at disk 1.
698,1,Returning to CPU
698,3,Job started at disk 1.
698,1,Job arrived at CPU.
703,0,Job finished at CPU.
703,0,Job complete.
703,1,Job started at CPU.
711,6,Job arrived at CPU.
716,1,Job finished at CPU.
716,1,Going to disk
716,6,Job started at CPU.
716,1,Arrived at disk 2
729,6,Job finished at CPU.
729,6,Job complete.
846,7,Job arrived at CPU.
846,7,Job started at CPU.
856,7,Job finished at CPU.
856,7,Going to disk
856,7,Arrived at disk 1
996,8,Job arrived at CPU.
996,8,Job started at CPU.
1009,8,Job finished at CPU.
1009,8,Going to disk
1009,8,Arrived at disk 2
1112,9,Job arrived at CPU.
1112,9,Job started at CPU.
1122,9,Job finished at CPU.
1122,9,Job complete.
1232,3,Job finished at disk 1.
1232,3,Returning to CPU
1232,5,Job started at disk 1.
1232,3,Job arrived at CPU.
1232,3,Job started at CPU.
1238,10,Job arrived at CPU.
1244,3,Job finished at CPU.
1244,3,Going to disk
1244,10,Job started at CPU.
1244,3,Arrived at disk 1
1259,10,Job finished at CPU.
1259,10,Going to disk
1259,10,Arrived at disk 1
1348,11,Job arrived at CPU.
1348,11,Job started at CPU.
1363,11,Job finished at CPU.
1363,11,Going to disk
1363,11,Arrived at disk 2
1374,2,Job finished at disk 2.
1374,2,Returning to CPU
1374,4,Job started at disk 2.
1374,2,Job arrived at CPU.
1374,2,Job started at CPU.
1386,2,Job finished at CPU.
1386,2,Going to disk
1386,2,Arrived at disk 2
1450,12,Job arrived at CPU.
1450,12,Job started at CPU.
1465,12,Job finished at CPU.
1465,12,Going to disk
1465,12,Arrived at disk 1
1562,13,Job arrived at CPU.
1562,13,Job started at CPU.
1573,13,Job finished at CPU.
1573,13,Going to disk
1573,13,Arrived at disk 2
1677,14,Job arrived at CPU.
1677,14,Job started at CPU.
1691,14,Job finished at CPU.
1691,14,Job complete.
1812,15,Job arrived at CPU.
1812,15,Job started at CPU.
1824,15,Job finished at CPU.
1824,15,Job complete.
1850,5,Job finished at disk 1.
1850,5,Returning to CPU
1850,7,Job started at disk 1.
1850,5,Job arrived at CPU.
1850,5,Job started at CPU.
1860,5,Job finished at CPU.
1860,5,Going to disk
1860,5,Arrived at disk 1
1934,16,Job arrived at CPU.
1934,16,Job started at CPU.
1944,16,Job finished at CPU.
1944,16,Going to disk
1944,16,Arrived at disk 1
2042,17,Job arrived at CPU.
2042,17,Job started at CPU.
2052,17,Job finished at CPU.
2052,17,Going to disk
2052,17,Arrived at disk 2
2114,4,Job finished at disk 2.
2114,4,Returning to CPU
2114,1,Job started at disk 2.
2114,4,Job arrived at CPU.
2114,4,Job started at CPU.
2127,4,Job finished at CPU.
2127,4,Job complete.
2154,18,Job arrived at CPU.
2154,18,Job started at CPU.
2168,18,Job finished at CPU.
2168,18,Going to disk
2168,18,Arrived at disk 2
2288,19,Job arrived at CPU.
2288,19,Job started at CPU.
2299,19,Job finished at CPU.
2299,19,Job complete.
2438,20,Job arrived at CPU.
2438,20,Job started at CPU.
2449,20,Job finished at CPU.
2449,20,Going to disk
2449,20,Arrived at disk 1
2583,21,Job arrived at CPU.
2583,21,Job started at CPU.
2595,21,Job finished at CPU.
2595,21,Going to disk
2595,21,Arrived at disk 2
2597,7,Job finished at disk 1.
2597,7,Returning to CPU
2597,3,Job started at disk 1.
2597,7,Job arrived at CPU.
2597,7,Job started at CPU.
2612,7,Job finished at CPU.
2612,7,Going to disk
2612,7,Arrived at disk 1
2717,22,Job arrived at CPU.
2717,22,Job started at CPU.
2732,22,Job finished at CPU.
2732,22,Going to disk
2732,22,Arrived at disk 1
2792,1,Job finished at disk 2.
2792,1,Returning to CPU
2792,8,Job started at disk 2.
2792,1,Job arrived at CPU.
2792,1,Job started at CPU.
2804,1,Job finished at CPU.
2804,1,Job complete.
2837,23,Job arrived at CPU.
2837,23,Job started at CPU.
2848,23,Job finished at CPU.
2848,23,Going to disk
2848,23,Arrived at disk 2
2971,24,Job arrived at CPU.
2971,24,Job started at CPU.
2984,24,Job finished at CPU.
2984,24,Going to disk
2984,24,Arrived at disk 2
3110,25,Job arrived at CPU.
